linked_person,source
Aleksandr Solzhenitsyn,Gabriela Mistral
Alexander Fleming,Gabriela Mistral
Alice Munro,Gabriela Mistral
Allen Ginsberg,Gabriela Mistral
Amanda Labarca,Gabriela Mistral
Anatole France,Gabriela Mistral
Andes,Gabriela Mistral
André Gide,Gabriela Mistral
Anna Akhmatova,Gabriela Mistral
Anna Świrszczyńska,Gabriela Mistral
Anne Freeland,Gabriela Mistral
Annie Ernaux,Gabriela Mistral
Antofagasta,Gabriela Mistral
Argentina,Gabriela Mistral
Artturi Ilmari Virtanen,Gabriela Mistral
Atacama Desert,Gabriela Mistral
Autodidacticism,Gabriela Mistral
Barnard College,Gabriela Mistral
"Barrancas, Pichilemu",Gabriela Mistral
Basques,Gabriela Mistral
Bertrand Russell,Gabriela Mistral
Bjørnstjerne Bjørnson,Gabriela Mistral
Bob Dylan,Gabriela Mistral
Boris Pasternak,Gabriela Mistral
Brazil,Gabriela Mistral
Buenos Aires,Gabriela Mistral
California,Gabriela Mistral
Camilo José Cela,Gabriela Mistral
Caribbean,Gabriela Mistral
Carl Spitteler,Gabriela Mistral
Celibacy,Gabriela Mistral
Chilean National Prize for Literature,Gabriela Mistral
Chilean peso,Gabriela Mistral
Claude Simon,Gabriela Mistral
Cold War,Gabriela Mistral
Columbia University,Gabriela Mistral
Consul (representative),Gabriela Mistral
Cordell Hull,Gabriela Mistral
Correspondent,Gabriela Mistral
Czesław Miłosz,Gabriela Mistral
Dario Fo,Gabriela Mistral
Delmira Agustini,Gabriela Mistral
Derek Walcott,Gabriela Mistral
Diabetes,Gabriela Mistral
Doi (identifier),Gabriela Mistral
Doris Dana,Gabriela Mistral
Doris Lessing,Gabriela Mistral
Dressmaker,Gabriela Mistral
Eduardo Frei Montalva,Gabriela Mistral
Eduardo Santos Montejo,Gabriela Mistral
Eleanor Roosevelt,Gabriela Mistral
Elfriede Jelinek,Gabriela Mistral
Elias Canetti,Gabriela Mistral
Erik Axel Karlfeldt,Gabriela Mistral
Ernest Hemingway,Gabriela Mistral
Ernst Chain,Gabriela Mistral
Eugene O'Neill,Gabriela Mistral
Eugenio Montale,Gabriela Mistral
Eyvind Johnson,Gabriela Mistral
Floral Games,Gabriela Mistral
Forough Farrokhzad,Gabriela Mistral
France,Gabriela Mistral
Frans Eemil Sillanpää,Gabriela Mistral
François Mauriac,Gabriela Mistral
Frédéric Mistral,Gabriela Mistral
Gabriel,Gabriela Mistral
Gabriel García Márquez,Gabriela Mistral
Gabriela Mistral mine,Gabriela Mistral
Gabriele D'Annunzio,Gabriela Mistral
Gao Xingjian,Gabriela Mistral
George Bernard Shaw,Gabriela Mistral
Gerhart Hauptmann,Gabriela Mistral
German National Library of Economics,Gabriela Mistral
Giorgos Seferis,Gabriela Mistral
Giosuè Carducci,Gabriela Mistral
God,Gabriela Mistral
Google,Gabriela Mistral
Google Doodle,Gabriela Mistral
Grazia Deledda,Gabriela Mistral
Gustaf V,Gabriela Mistral
Günter Grass,Gabriela Mistral
Halldór Laxness,Gabriela Mistral
Han Kang,Gabriela Mistral
Harold Pinter,Gabriela Mistral
Harry Martinson,Gabriela Mistral
Heinrich Böll,Gabriela Mistral
"Hempstead, New York",Gabriela Mistral
Henri Bergson,Gabriela Mistral
Henrik Pontoppidan,Gabriela Mistral
Henryk Sienkiewicz,Gabriela Mistral
Hermann Hesse,Gabriela Mistral
Herta Müller,Gabriela Mistral
Hippocamelus,Gabriela Mistral
Hispanophone,Gabriela Mistral
Hjalmar Gullberg,Gabriela Mistral
Houston,Gabriela Mistral
Houston Independent School District,Gabriela Mistral
Howard Florey,Gabriela Mistral
IMDb (identifier),Gabriela Mistral
ISBN (identifier),Gabriela Mistral
Imre Kertész,Gabriela Mistral
Indigenous peoples of the Americas,Gabriela Mistral
Inés Bellina,Gabriela Mistral
Isaac Bashevis Singer,Gabriela Mistral
Italy,Gabriela Mistral
Ivan Bunin,Gabriela Mistral
Ivo Andrić,Gabriela Mistral
J. M. Coetzee,Gabriela Mistral
J. M. G. Le Clézio,Gabriela Mistral
JSTOR (identifier),Gabriela Mistral
Jacinto Benavente,Gabriela Mistral
Jacques Prévert,Gabriela Mistral
Jaroslav Seifert,Gabriela Mistral
Jean-Paul Sartre,Gabriela Mistral
Johannes V. Jensen,Gabriela Mistral
John Gallas,Gabriela Mistral
John Galsworthy,Gabriela Mistral
John Steinbeck,Gabriela Mistral
Jon Fosse,Gabriela Mistral
Joseph Brodsky,Gabriela Mistral
José Echegaray,Gabriela Mistral
José Saramago,Gabriela Mistral
José Vasconcelos,Gabriela Mistral
Juan Ramón Jiménez,Gabriela Mistral
Juegos Florales,Gabriela Mistral
Karl Adolph Gjellerup,Gabriela Mistral
Kazuo Ishiguro,Gabriela Mistral
Kenzaburō Ōe,Gabriela Mistral
Knut Hamsun,Gabriela Mistral
"La Serena, Chile",Gabriela Mistral
Langston Hughes,Gabriela Mistral
Latin American literature,Gabriela Mistral
Latin American poetry,Gabriela Mistral
League of Nations,Gabriela Mistral
Lesbian,Gabriela Mistral
LibriVox,Gabriela Mistral
Liliana Baltra,Gabriela Mistral
Lisbon,Gabriela Mistral
List of Nobel laureates,Gabriela Mistral
List of Nobel laureates in Literature,Gabriela Mistral
List of female Nobel laureates,Gabriela Mistral
"Los Andes, Chile",Gabriela Mistral
Los Angeles,Gabriela Mistral
Louise Glück,Gabriela Mistral
Lucila Palacios,Gabriela Mistral
Luigi Pirandello,Gabriela Mistral
Lullaby,Gabriela Mistral
Madrid,Gabriela Mistral
Mahmoud Darwish,Gabriela Mistral
Mario Vargas Llosa,Gabriela Mistral
Maurice Maeterlinck,Gabriela Mistral
Mestizo,Gabriela Mistral
Mexico,Gabriela Mistral
Michael P. Predmore,Gabriela Mistral
Middlebury College,Gabriela Mistral
Miguel Ángel Asturias,Gabriela Mistral
Mikhail Sholokhov,Gabriela Mistral
Military dictatorship of Chile (1973–90),Gabriela Mistral
Mills College at Northeastern University,Gabriela Mistral
Mistral (wind),Gabriela Mistral
Mo Yan,Gabriela Mistral
NGC 3324,Gabriela Mistral
Nadine Gordimer,Gabriela Mistral
Naguib Mahfouz,Gabriela Mistral
Naples,Gabriela Mistral
National day of mourning,Gabriela Mistral
Nazik Al-Malaika,Gabriela Mistral
Nazim Hikmet,Gabriela Mistral
Nelly Sachs,Gabriela Mistral
Nepali language,Gabriela Mistral
New York City,Gabriela Mistral
Nice,Gabriela Mistral
Nizar Qabbani,Gabriela Mistral
Nobel Peace Prize,Gabriela Mistral
Nobel Prize,Gabriela Mistral
Nobel Prize in Chemistry,Gabriela Mistral
Nobel Prize in Literature,Gabriela Mistral
Nobel Prize in Physics,Gabriela Mistral
Nobel Prize in Physiology or Medicine,Gabriela Mistral
"Oakland, California",Gabriela Mistral
Octavio Paz,Gabriela Mistral
Odysseas Elytis,Gabriela Mistral
Ohio University Press,Gabriela Mistral
Olga Tokarczuk,Gabriela Mistral
Organization of American States,Gabriela Mistral
Orhan Pamuk,Gabriela Mistral
Pablo Neruda,Gabriela Mistral
Pancreatic cancer,Gabriela Mistral
Patrick Modiano,Gabriela Mistral
Patrick White,Gabriela Mistral
Paul Heyse,Gabriela Mistral
Pearl S. Buck,Gabriela Mistral
Pedro Aguirre Cerda,Gabriela Mistral
Peter Handke,Gabriela Mistral
Petrópolis,Gabriela Mistral
Poet-diplomat,Gabriela Mistral
President of Chile,Gabriela Mistral
President of Colombia,Gabriela Mistral
Provence,Gabriela Mistral
Pseudonym,Gabriela Mistral
Puerto Rico,Gabriela Mistral
Punta Arenas,Gabriela Mistral
Pär Lagerkvist,Gabriela Mistral
Rabindranath Tagore,Gabriela Mistral
Radical Party of Chile,Gabriela Mistral
Rapallo,Gabriela Mistral
Roger Martin du Gard,Gabriela Mistral
Romain Rolland,Gabriela Mistral
"Roslyn, New York",Gabriela Mistral
Rudolf Christoph Eucken,Gabriela Mistral
Rudyard Kipling,Gabriela Mistral
Saint-John Perse,Gabriela Mistral
Salvatore Quasimodo,Gabriela Mistral
Samuel Beckett,Gabriela Mistral
"Santa Barbara, California",Gabriela Mistral
Santiago,Gabriela Mistral
Sara Braun,Gabriela Mistral
Saul Bellow,Gabriela Mistral
Seamus Heaney,Gabriela Mistral
Selma Lagerlöf,Gabriela Mistral
Shmuel Yosef Agnon,Gabriela Mistral
Sigrid Undset,Gabriela Mistral
Sinclair Lewis,Gabriela Mistral
Sonetos de la Muerte,Gabriela Mistral
South America,Gabriela Mistral
Southern Europe,Gabriela Mistral
Spanish Civil War,Gabriela Mistral
Spanish language,Gabriela Mistral
Spanish name,Gabriela Mistral
Sully Prudhomme,Gabriela Mistral
Suman Pokhrel,Gabriela Mistral
Surname,Gabriela Mistral
Svetlana Alexievich,Gabriela Mistral
Sweden,Gabriela Mistral
Swedish Academy,Gabriela Mistral
Sylvia Plath,Gabriela Mistral
T. S. Eliot,Gabriela Mistral
Temuco,Gabriela Mistral
Theodor Mommsen,Gabriela Mistral
Thomas Mann,Gabriela Mistral
Tomas Tranströmer,Gabriela Mistral
Toni Morrison,Gabriela Mistral
Traiguén,Gabriela Mistral
Troubadour,Gabriela Mistral
Universal access to education,Gabriela Mistral
University of Chile,Gabriela Mistral
University of New Mexico Press,Gabriela Mistral
"University of Puerto Rico, Río Piedras Campus",Gabriela Mistral
Ursula K. Le Guin,Gabriela Mistral
Uruguay,Gabriela Mistral
V. S. Naipaul,Gabriela Mistral
Vassar College,Gabriela Mistral
Veracruz,Gabriela Mistral
Verner von Heidenstam,Gabriela Mistral
Vicente Aleixandre,Gabriela Mistral
Victoria Ocampo,Gabriela Mistral
"Vicuña, Chile",Gabriela Mistral
W. B. Yeats,Gabriela Mistral
"Washington, D.C.",Gabriela Mistral
Wayback Machine,Gabriela Mistral
Wikimedia Commons,Gabriela Mistral
William Faulkner,Gabriela Mistral
William Golding,Gabriela Mistral
Winston Churchill,Gabriela Mistral
Wisława Szymborska,Gabriela Mistral
Wole Soyinka,Gabriela Mistral
Wolfgang Pauli,Gabriela Mistral
World War II,Gabriela Mistral
Władysław Reymont,Gabriela Mistral
Yasunari Kawabata,Gabriela Mistral
Yehuda Amichai,Gabriela Mistral
Wikipedia:The Wikipedia Library,Gabriela Mistral
Wikipedia:Verifiability,Gabriela Mistral
File:07 GABRIELA MISTRAL.ogg,Gabriela Mistral
Template:1940 Nobel Prize winners,Gabriela Mistral
Template:1941 Nobel Prize winners,Gabriela Mistral
Template:1942 Nobel Prize winners,Gabriela Mistral
Template:1943 Nobel Prize winners,Gabriela Mistral
Template:1944 Nobel Prize winners,Gabriela Mistral
Template:1945 Nobel Prize winners,Gabriela Mistral
Template:1946 Nobel Prize winners,Gabriela Mistral
Template:1947 Nobel Prize winners,Gabriela Mistral
Template:1948 Nobel Prize winners,Gabriela Mistral
Template:1949 Nobel Prize winners,Gabriela Mistral
Template:1950 Nobel Prize winners,Gabriela Mistral
Template:Cite book,Gabriela Mistral
Template:Nobel Prize in Literature,Gabriela Mistral
