name,birth_date,death_date,description,occupation,nationality,gender
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",prose writer,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",short story writer,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",militant,Soviet Union,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",screenwriter,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",writer,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",teacher,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",military personnel,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",poet,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",historian,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",playwright,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",public figure,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",school teacher,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",full member of RAS,statelessness,male
Aleksandr Solzhenitsyn,1918-12-11T00:00:00Z,2008-08-03T00:00:00Z,"Russian writer, publicist, poet and politician (1918–2008)",opinion journalist,statelessness,male
